kategori_id,ana_kategori,alt_kategori,kategori_url,sayfa_sayisi
1,aperatifler,cig-kofte,https://www.nefisyemektarifleri.com/kategori/tarifler/aperatifler-tarifler/cig-kofte-tarifleri,95
2,aperatifler,etli-cig-kofte,https://www.nefisyemektarifleri.com/kategori/tarifler/aperatifler-tarifler/cig-kofte-tarifleri/etli-cig-kofte-tarifleri,4
3,aperatifler,etsiz-cig-kofte,https://www.nefisyemektarifleri.com/kategori/tarifler/aperatifler-tarifler/cig-kofte-tarifleri/etsiz-cig-kofte-tarifleri,36
4,bebekler-icin,bebek-biskuvileri,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-biskuvileri,21
5,bebekler-icin,bebek-caylari,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-caylari,3
6,bebekler-icin,bebek-corbalari,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-corbalari,90
7,bebekler-icin,bebek-ekmekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-ekmekleri,5
8,bebekler-icin,bebek-kahvaltisi,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-kahvaltisi,58
9,bebekler-icin,bebek-kofteleri,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-kofteleri,13
10,bebekler-icin,bebek-muhallebisi-ve-mama,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-muhallebisi-ve-mama-tarifleri,55
11,bebekler-icin,bebek-pankek,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-pankek-tarifleri,20
12,bebekler-icin,bebek-pureleri,https://www.nefisyemektarifleri.com/kategori/tarifler/bebekler-icin/bebek-pureleri,33
13,diger,baharat-yapimi,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/baharat-yapimi,14
14,diger,derin-dondurucuda-saklananlar,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/derin-dondurucuda-saklananlar,125
15,diger,dondurulmus-yemekler,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/dondurulmus-yemekler,12
16,diger,kis-hazirliklari-diger,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/kis-hazirliklari-diger-tarifler,236
17,diger,pekmez,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/pekmez-tarifleri,7
18,diger,recel,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/recel-tarifleri,240
19,diger,salamura,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/salamura-tarifleri,17
20,diger,sos,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/sos-tarifleri,140
21,diger,sut-urunleri,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/sut-urunleri,119
22,diger,takviye-edici-gidalar,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/takviye-edici-gidalar,5
23,diger,tursu,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/tursu-tarifleri,211
24,diyet,diyabetik,https://www.nefisyemektarifleri.com/kategori/tarifler/diyet/diyabetik-tarifler,24
25,diyet,diyet-salata,https://www.nefisyemektarifleri.com/kategori/tarifler/diyet/diyet-salata-tarifleri,87
26,diyet,diyet-tatli,https://www.nefisyemektarifleri.com/kategori/tarifler/diyet/diyet-tatli-tarifleri,280
27,diyet,diyet-yemek,https://www.nefisyemektarifleri.com/kategori/tarifler/diyet/diyet-yemek-tarifleri,203
28,diyet,gluten-diyeti,https://www.nefisyemektarifleri.com/kategori/tarifler/diyet/gluten-diyeti-tarifleri,63
29,dolma-sarma,sicak,https://www.nefisyemektarifleri.com/kategori/tarifler/dolma-sarma-tarifleri/sicak,221
30,dolma-sarma,zeytinyagli,https://www.nefisyemektarifleri.com/kategori/tarifler/dolma-sarma-tarifleri/zeytinyagli,234
31,et-yemekleri,balik-deniz-urunleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/balik-deniz-urunleri,332
32,et-yemekleri,kebap,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/kebap-tarifleri,483
33,et-yemekleri,kirmizi-et-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/kirmizi-et-yemekleri,685
34,et-yemekleri,kofte-2,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/kofte-tarifleri-2,984
35,et-yemekleri,sakatat-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/sakatat-yemekleri,111
36,et-yemekleri,tavuk-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/tavuk-yemekleri,1413
37,hamurisi,borek,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/borek-tarifleri,1829
38,hamurisi,corek-hamurisi,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/corek-tarifleri-hamurisi-tarifleri,319
39,hamurisi,ekmek-hamurisi,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/ekmek-tarifleri-hamurisi-tarifleri,690
40,hamurisi,kis,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/kis-tarifleri,48
41,hamurisi,krep-hamurisi,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/krep-tarifleri-hamurisi-tarifleri,271
42,hamurisi,manti,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/manti-tarifleri,269
43,hamurisi,pide,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/pide-tarifleri,342
44,hamurisi,pizza,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/pizza-tarifleri,474
45,hamurisi,pogaca,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/pogaca-tarifleri,1717
46,hizli-yemekler,durum,https://www.nefisyemektarifleri.com/kategori/tarifler/hizli-yemekler/durum-tarifleri,49
47,hizli-yemekler,hamburger,https://www.nefisyemektarifleri.com/kategori/tarifler/hizli-yemekler/hamburger-tarifleri,60
48,hizli-yemekler,tost,https://www.nefisyemektarifleri.com/kategori/tarifler/hizli-yemekler/tost-tarifleri,31
49,icecek,hosaf,https://www.nefisyemektarifleri.com/kategori/tarifler/icecek-tarifleri/hosaf-tarifleri,25
50,icecek,sicak-icecekler,https://www.nefisyemektarifleri.com/kategori/tarifler/icecek-tarifleri/sicak-icecekler,202
51,icecek,soguk-icecekler,https://www.nefisyemektarifleri.com/kategori/tarifler/icecek-tarifleri/soguk-icecekler,435
52,kurabiye,tatli-kurabiyeler,https://www.nefisyemektarifleri.com/kategori/tarifler/kurabiye-tarifleri/tatli-kurabiyeler,2492
53,kurabiye,tuzlu-kurabiyeler,https://www.nefisyemektarifleri.com/kategori/tarifler/kurabiye-tarifleri/tuzlu-kurabiyeler,494
54,salata-meze-kanepe,kanepe,https://www.nefisyemektarifleri.com/kategori/tarifler/salata-meze-kanepe/kanepe-tarifleri,14
55,salata-meze-kanepe,meze,https://www.nefisyemektarifleri.com/kategori/tarifler/salata-meze-kanepe/meze-tarifleri,536
56,salata-meze-kanepe,salata,https://www.nefisyemektarifleri.com/kategori/tarifler/salata-meze-kanepe/salata-tarifleri,1440
57,sebze-yemekleri,dolma,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/dolma-tarifleri,37
58,sebze-yemekleri,ev-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/ev-yemekleri,943
59,sebze-yemekleri,kizartma,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/kizartma-tarifleri,433
60,sebze-yemekleri,sarma,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/sarma-tarifleri,20
61,sebze-yemekleri,sulu-yemek,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/sulu-yemek-tarifleri,205
62,sebze-yemekleri,zeytinyagli,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/zeytinyagli-tarifler,358
