kategori_id,ana_kategori,alt_kategori,kategori_url,sayfa_sayisi
1,aperatifler,etli-cig-kofte,https://www.nefisyemektarifleri.com/kategori/tarifler/aperatifler-tarifler/cig-kofte-tarifleri/etli-cig-kofte-tarifleri,4
2,aperatifler,etsiz-cig-kofte,https://www.nefisyemektarifleri.com/kategori/tarifler/aperatifler-tarifler/cig-kofte-tarifleri/etsiz-cig-kofte-tarifleri,36
3,bakliyat_yemekleri,bakliyat_yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/bakliyat-yemekleri,344
4,diger,baharat-yapimi,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/baharat-yapimi,14
5,diger,dondurulmus-yemekler,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/dondurulmus-yemekler,12
6,diger,kis-hazirliklari-diger,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/kis-hazirliklari-diger-tarifler,236
7,diger,pekmez,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/pekmez-tarifleri,7
8,diger,recel,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/recel-tarifleri,240
9,diger,salamura,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/salamura-tarifleri,17
10,diger,sos,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/sos-tarifleri,140
11,diger,sut-urunleri,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/sut-urunleri,119
12,diger,tursu,https://www.nefisyemektarifleri.com/kategori/tarifler/diger-tarifler/tursu-tarifleri,211
13,dolma-sarma,sicak,https://www.nefisyemektarifleri.com/kategori/tarifler/dolma-sarma-tarifleri/sicak,221
14,dolma-sarma,zeytinyagli,https://www.nefisyemektarifleri.com/kategori/tarifler/dolma-sarma-tarifleri/zeytinyagli,234
15,et-yemekleri,balik-deniz-urunleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/balik-deniz-urunleri,332
16,et-yemekleri,kebap,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/kebap-tarifleri,483
17,et-yemekleri,kirmizi-et-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/kirmizi-et-yemekleri,685
18,et-yemekleri,kofte,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/kofte-tarifleri-2,984
19,et-yemekleri,sakatat-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/sakatat-yemekleri,111
20,et-yemekleri,tavuk-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/et-yemekleri/tavuk-yemekleri,1413
21,hamurisi,borek,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/borek-tarifleri,1829
22,hamurisi,corek-hamurisi,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/corek-tarifleri-hamurisi-tarifleri,319
23,hamurisi,ekmek-hamurisi,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/ekmek-tarifleri-hamurisi-tarifleri,690
24,hamurisi,kis,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/kis-tarifleri,48
25,hamurisi,krep-hamurisi,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/krep-tarifleri-hamurisi-tarifleri,271
26,hamurisi,manti,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/manti-tarifleri,269
27,hamurisi,pide,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/pide-tarifleri,342
28,hamurisi,pizza,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/pizza-tarifleri,474
29,hamurisi,pogaca,https://www.nefisyemektarifleri.com/kategori/tarifler/hamurisi-tarifleri/pogaca-tarifleri,1717
30,hizli-yemekler,durum,https://www.nefisyemektarifleri.com/kategori/tarifler/hizli-yemekler/durum-tarifleri,49
31,hizli-yemekler,hamburger,https://www.nefisyemektarifleri.com/kategori/tarifler/hizli-yemekler/hamburger-tarifleri,60
32,hizli-yemekler,tost,https://www.nefisyemektarifleri.com/kategori/tarifler/hizli-yemekler/tost-tarifleri,31
33,icecek,hosaf,https://www.nefisyemektarifleri.com/kategori/tarifler/icecek-tarifleri/hosaf-tarifleri,25
34,icecek,sicak-icecekler,https://www.nefisyemektarifleri.com/kategori/tarifler/icecek-tarifleri/sicak-icecekler,202
35,icecek,soguk-icecekler,https://www.nefisyemektarifleri.com/kategori/tarifler/icecek-tarifleri/soguk-icecekler,435
36,kahvaltılık,kahvaltılık,https://www.nefisyemektarifleri.com/kategori/tarifler/kahvaltilik-tarifleri,1455
37,kurabiye,tatli-kurabiyeler,https://www.nefisyemektarifleri.com/kategori/tarifler/kurabiye-tarifleri/tatli-kurabiyeler,2492
39,kurabiye,tuzlu-kurabiyeler,https://www.nefisyemektarifleri.com/kategori/tarifler/kurabiye-tarifleri/tuzlu-kurabiyeler,494
40,makarna,makarna,https://www.nefisyemektarifleri.com/kategori/tarifler/makarna-tarifleri,669
41,pilav,pilav,https://www.nefisyemektarifleri.com/kategori/tarifler/pilav-tarifleri,744
43,sandvic,sandvic,https://www.nefisyemektarifleri.com/kategori/tarifler/sandvic-tarifleri-tarifler,31
44,salata-meze-kanepe,kanepe,https://www.nefisyemektarifleri.com/kategori/tarifler/salata-meze-kanepe/kanepe-tarifleri,14
45,salata-meze-kanepe,meze,https://www.nefisyemektarifleri.com/kategori/tarifler/salata-meze-kanepe/meze-tarifleri,536
46,salata-meze-kanepe,salata,https://www.nefisyemektarifleri.com/kategori/tarifler/salata-meze-kanepe/salata-tarifleri,1440
47,sebze-yemekleri,dolma,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/dolma-tarifleri,37
48,sebze-yemekleri,ev-yemekleri,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/ev-yemekleri,943
49,sebze-yemekleri,kizartma,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/kizartma-tarifleri,433
50,sebze-yemekleri,sarma,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/sarma-tarifleri,20
51,sebze-yemekleri,sulu-yemek,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/sulu-yemek-tarifleri,205
52,sebze-yemekleri,zeytinyagli,https://www.nefisyemektarifleri.com/kategori/tarifler/sebze-yemekleri/zeytinyagli-tarifler,358
53,tatli,cikolatali,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/cikolatali-tarifler,970
54,tatli,dondurma,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/dondurma-tarifleri,65
55,tatli,dondurmali,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/dondurmali-tarifler,36
56,tatli,donut-tatli,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/donut-tatli-tarifleri,38
57,tatli,geleneksel-tatlilar,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/geleneksel-tatlilar,270
58,tatli,helva-tatli,https://www.nefisyemektarifleri.com/kategori/tarifler/tatli-tarifleri/helva-tarifleri-tatli-tarifleri,400
