profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir
eminezeynep58,96,9.0,3,1,si̇vas
Denizzincisi,40,62.0,170,4,i̇stanbul
zeyneppp444,62,118.0,75,24,
Asli_KaplanKarababa,103,9.0,18,1,gazi̇antep
bircan79,138,919.0,17684,9,ki̇li̇s
burcintrs,72,212.0,288,73,ankara
Neslihan_KoseCinar,138,12.0,21,16,i̇stanbul
ozumbarlas,77,2.0,0,1,
Rabia_Kirbas,131,6.0,6,4,i̇stanbul
cevtug,119,40.0,101,10,
Sukran_Acikgoz4,76,43.0,189,95,mersi̇n
Behice_Can,141,174.0,333,69,yurtdişi
Handan_Ozkil,81,65.0,78,5,ankara
mervisteyze,55,25.0,64,0,i̇stanbul
ahmetturkay44,53,1.0,7,5,
iugurchef,57,81.0,939,4,i̇stanbul
tulaydeveci,55,50.0,36,4,ankara
hsedaaaa,64,33.0,126,124,gazi̇antep
Cigdem_Gvn,117,16.0,20,40,kirklareli̇
ozlemyilmaztursak,72,384.0,687,5,ankara
lezzetlendik,55,16.0,22,1,
Humeyra_Demirel3,113,116.0,229,204,erzurum
sedaycn,114,17.0,9,6,i̇stanbul
Yagizumay_Polat,57,51.0,18,0,
pervininyemekleri,57,579.0,2516,234,
NazanAcikgoz_Dasiran,103,120.0,171,1,hatay
pembeerdinc,60,3.0,5,3,
zynpsewde,109,20.0,54,10,bursa
ergulbozkurt4684,73,64.0,51,50,
2in1mutfak,60,46.0,145,80,i̇stanbul
Mujgan_Abatu,84,8.0,2,0,
Halil_Alpar,86,2.0,1,3,
tugbailgin6826,63,41.0,54,1,gazi̇antep
gamzesaray23,63,71.0,39,0,
semrakync,73,3.0,3,14,
Neslihan_Bayrak3,107,1.0,2,4,
glderya,86,159.0,1237,3307,mardi̇n
gizemgultekin1,66,7.0,19,55,kocaeli̇
kevsernurr,118,56.0,102,176,
nehirceren,115,549.0,544,1,antalya
Munevver_BakirciCakmaktasi,77,15.0,32,56,
suhedamutfakta,65,26.0,63,22,yurtdişi
SarAhsen,77,40.0,93,84,yurtdişi
tubaninsirinmutfagi,68,59.0,72,20,tokat
alininrabiasi,102,6.0,18,13,konya
pelin1518,78,29.0,18,0,teki̇rdağ
fnbilgin,90,117.0,239,37,ankara
Ahmet_Orbay,115,121.0,122,2,mardi̇n
cansuakcan6548,82,11.0,11,7,
zenan2014,122,112.0,311,18,yurtdişi
Gizem_Cinar2,131,21.0,28,90,erzurum
Melikem01,114,44.0,189,10,ankara
turker582,91,7.0,51,0,si̇i̇rt
Mahmut_Subatay,90,86.0,74,19,hatay
DenizRecep_Turan,114,99.0,161,17,samsun
mutfaktakibiriii,84,31.0,34,12,erzurum
asarkaya,132,173.0,1897,12,
Gamze_Guden,142,45.0,209,8,gazi̇antep
_nurmerduvan_41,9,85.0,44,2,kocaeli
lezzetinmuhendisi,73,359.0,971,18,adana
sofradanlezzetler77,3,15.0,23,4,yalova
zehracolakoglu,22,12.0,9,11,i̇stanbul
elifkaragoz_4600,5,23.0,16,0,kahramanmaraş
aysenurakkus_9715,3,4.0,3,0,
guldamak,61,370.0,868,3,van
akbasgillerden,73,6.0,5,7,amasya
seda-altay-1751,43,45.0,47,2,
asime acun,114,415.0,2965,3,di̇yarbakir
Sedef_Gulakman,108,124.0,584,3,mani̇sa
defnelimutfak,4,9.0,9,2,
lezzetharci,60,266.0,891,21,ankara
dakydu,93,117.0,474,64,i̇stanbul
Nur_Yilmaz3,144,105.0,106,15,ankara
lezzetsepetim345,64,146.0,946,16,i̇stanbul
nytuser_cicekkara_6761,22,7.0,9,0,hatay
Tugce_Ozdere,125,615.0,280,22,
saibebrk,125,842.0,1512,3,
nytuser_banuersan_3331,24,342.0,247,9,i̇zmi̇r
goog_63fe31f8af6b,31,202.0,79,7,i̇stanbul
y3m3k-askina,119,415.0,2692,46,şanliurfa
fyznrvrl,93,4.0,2,3,
fatmaturung,5,122.0,138,1,kocaeli̇
gulizar-seker-9131,43,129.0,255,11,yurtdişi (fransa)
buseelifeser,110,78.0,63,8,i̇stanbul
Goncagul15,23,11.0,4,1,burdur
_betulbilecen_4392,27,10.0,7,10,kayseri̇
semra_dilek1903,35,7.0,3,0,
ozgeninelindenhersey-3882,46,28.0,25,2,i̇stanbul
Fecraa,28,21.0,12,10,muş
gzdeec,60,273.0,208,0,
Yeter_Ates2,148,471.0,843,3,i̇zmi̇r
chefofthehome,84,40.0,70,27,gazi̇antep
Saziye_Altinsoy,114,24.0,30,33,
Yildiz_Sener2,114,101.0,76,14,trabzon
Erbug1453,49,1.0,5,28,ankara
Gizem_Yasar3,92,642.0,2580,98,teki̇rdağ
turcaninan,153,773.0,1280,64,çanakkale
hiranursoylemis_65,40,4.0,2,2,
Nihan_Cirak,125,24.0,13,0,
Mine_Bulut11,54,87.0,61,6,sakarya
AyseKubra_Mutlu,73,23.0,93,45,
gulce_home9112,9,123.0,157,5,balikesi̇r
birleziztarif,9,35.0,47,3,i̇stanbul
darsin_atay9932,39,18.0,14,4,mardi̇n
pervinecem,61,31.0,35,10,mersi̇n
nytuser_nursendogan_6772,28,263.0,1382,5,gazi̇antep
nyself,122,36.0,30,10,
hanife-arslan-0301,45,197.0,308,119,i̇stanbul
Esin_Korpe,118,85.0,197,57,ankara
araf_eminegezer_3266,14,5.0,4,0,adiyaman
sevilaydan_sunumlar,45,72.0,317,0,
mrccan,62,76.0,34,2,
Elif_Otrar,112,14.0,20,8,eski̇şehi̇r
busrayavuz94,102,70.0,81,0,ankara
Sengul_Demir13,67,9.0,17,11,malatya
saadetmutfagi,53,375.0,727,69,i̇zmi̇r
aaleynabal,91,21.0,169,87,i̇zmi̇r
gulsenem_mutfagi04,16,46.0,20,0,ankara
serife-blog,61,73.0,336,3,konya
ZeynepKlcoglu,16,26.0,32,2,trabzon
Nazli_Yildirim4,131,67.0,66,21,i̇zmi̇r
eefme,61,232.0,180,7,i̇stanbul
cinkayasgourmet,49,254.0,1649,12,yurtdişi
nytuser_elifbayrak_5561,18,12.0,1,0,samsun
Meryemle_Tarifler_,37,82.0,254,0,yurtdişi
_bircicekaski_7063,29,68.0,924,2396,yurtdişi
uzumlukekim_13,19,4.0,3,1,balikesi̇r
basak9242,61,2.0,0,1,
isranaa,112,17.0,85,32,i̇stanbul
gulumse_,85,109.0,116,41,eski̇şehi̇r
lezzeti_parem,21,56.0,135,0,ri̇ze
goog_a5df580fcb35,38,3.0,1,0,
betyavie,22,6.0,1,1,kastamonu
Kubraa_Kcby,101,4.0,4,6,
Aysenur_Kurucay,102,497.0,3235,11,erzi̇ncan
Fulya_EfeOzusaglam,115,76.0,94,54,adana
nytuser_esraarasbinbay_9606,24,40.0,107,19,yurtdişi
Ipek_PacaciOzcelik,138,103.0,141,35,i̇stanbul
EmineBltl_Yildirim,68,98.0,154,17,kütahya
nytuser_yaseminyakici_7091,26,24.0,16,0,afyon
Simge_Kecici,76,3.0,2,1,çanakkale
hacer-9640,45,9.0,10,11,elaziğ
Mina_DurmusDogan,74,7.0,12,13,
goog_b875c517d972,40,343.0,319,10,i̇stanbul
hilalcelik07,68,60.0,53,5,antalya
APPLE_000877.dc84482cb67e4f61970848f20fbb12db.0754,47,126.0,174,6,i̇stanbul
