kayit_ay,tarif_sayisi,takipci,takip,sehir,profil_id
96.0,9.0,3.0,1.0,si̇vas,100000
40.0,62.0,170.0,4.0,i̇stanbul,174910
62.0,118.0,75.0,24.0,,100002
103.0,9.0,18.0,1.0,gazi̇antep,174911
138.0,919.0,17684.0,9.0,ki̇li̇s,100004
72.0,212.0,288.0,73.0,ankara,100005
138.0,12.0,21.0,16.0,i̇stanbul,174912
77.0,2.0,0.0,1.0,,100007
131.0,6.0,6.0,4.0,i̇stanbul,174913
119.0,40.0,101.0,10.0,,100009
76.0,43.0,189.0,95.0,mersi̇n,174914
141.0,174.0,333.0,69.0,yurtdişi,174915
81.0,65.0,78.0,5.0,ankara,174916
55.0,25.0,64.0,0.0,i̇stanbul,100013
53.0,1.0,7.0,5.0,,100014
57.0,81.0,939.0,4.0,i̇stanbul,100015
55.0,50.0,36.0,4.0,ankara,100016
64.0,33.0,126.0,124.0,gazi̇antep,100017
117.0,16.0,20.0,40.0,kirklareli̇,174917
72.0,384.0,687.0,5.0,ankara,100019
55.0,16.0,22.0,1.0,,100020
113.0,116.0,229.0,204.0,erzurum,174918
114.0,17.0,9.0,6.0,i̇stanbul,100022
57.0,51.0,18.0,0.0,,174919
57.0,579.0,2516.0,234.0,,100024
103.0,120.0,171.0,1.0,hatay,174920
60.0,3.0,5.0,3.0,,100026
109.0,20.0,54.0,10.0,bursa,100027
73.0,64.0,51.0,50.0,,100028
60.0,46.0,145.0,80.0,i̇stanbul,100029
84.0,8.0,2.0,0.0,,174921
86.0,2.0,1.0,3.0,,174922
63.0,41.0,54.0,1.0,gazi̇antep,100032
63.0,71.0,39.0,0.0,,100033
73.0,3.0,3.0,14.0,,100034
107.0,1.0,2.0,4.0,,174923
86.0,159.0,1237.0,3307.0,mardi̇n,100036
66.0,7.0,19.0,55.0,kocaeli̇,100037
118.0,56.0,102.0,176.0,,100038
115.0,549.0,544.0,1.0,antalya,100039
77.0,15.0,32.0,56.0,,174924
65.0,26.0,63.0,22.0,yurtdişi,100041
77.0,40.0,93.0,84.0,yurtdişi,100042
68.0,59.0,72.0,20.0,tokat,100043
102.0,6.0,18.0,13.0,konya,100044
78.0,29.0,18.0,0.0,teki̇rdağ,100045
90.0,117.0,239.0,37.0,ankara,100046
115.0,121.0,122.0,2.0,mardi̇n,174925
82.0,11.0,11.0,7.0,,100048
122.0,112.0,311.0,18.0,yurtdişi,100049
131.0,21.0,28.0,90.0,erzurum,174926
114.0,44.0,189.0,10.0,ankara,174927
91.0,7.0,51.0,0.0,si̇i̇rt,100052
90.0,86.0,74.0,19.0,hatay,174928
114.0,99.0,161.0,17.0,samsun,174929
84.0,31.0,34.0,12.0,erzurum,100055
132.0,173.0,1897.0,12.0,,100056
142.0,45.0,209.0,8.0,gazi̇antep,100057
9.0,85.0,44.0,2.0,kocaeli,100058
73.0,359.0,971.0,18.0,adana,100059
3.0,15.0,23.0,4.0,yalova,100060
22.0,12.0,9.0,11.0,i̇stanbul,100061
5.0,23.0,16.0,0.0,kahramanmaraş,100062
3.0,4.0,3.0,0.0,,100063
61.0,370.0,868.0,3.0,van,100064
73.0,6.0,5.0,7.0,amasya,100065
43.0,45.0,47.0,2.0,,100066
114.0,415.0,2965.0,3.0,di̇yarbakir,174930
108.0,124.0,584.0,3.0,mani̇sa,174931
4.0,9.0,9.0,2.0,,100069
60.0,266.0,891.0,21.0,ankara,100070
93.0,117.0,474.0,64.0,i̇stanbul,100071
144.0,105.0,106.0,15.0,ankara,174932
64.0,146.0,946.0,16.0,i̇stanbul,100073
22.0,7.0,9.0,0.0,hatay,100074
125.0,615.0,280.0,22.0,,174933
125.0,842.0,1512.0,3.0,,100076
24.0,342.0,247.0,9.0,i̇zmi̇r,100077
31.0,202.0,79.0,7.0,i̇stanbul,100078
119.0,415.0,2692.0,46.0,şanliurfa,100079
93.0,4.0,2.0,3.0,,100080
5.0,122.0,138.0,1.0,kocaeli̇,100081
43.0,129.0,255.0,11.0,yurtdişi (fransa),100082
110.0,78.0,63.0,8.0,i̇stanbul,100083
23.0,11.0,4.0,1.0,burdur,174934
27.0,10.0,7.0,10.0,kayseri̇,100085
35.0,7.0,3.0,0.0,,100086
46.0,28.0,25.0,2.0,i̇stanbul,100087
28.0,21.0,12.0,10.0,muş,174935
60.0,273.0,208.0,0.0,,100089
148.0,471.0,843.0,3.0,i̇zmi̇r,174936
84.0,40.0,70.0,27.0,gazi̇antep,100091
114.0,24.0,30.0,33.0,,174937
114.0,101.0,76.0,14.0,trabzon,174938
49.0,1.0,5.0,28.0,ankara,174939
92.0,642.0,2580.0,98.0,teki̇rdağ,174940
153.0,773.0,1280.0,64.0,çanakkale,100096
40.0,4.0,2.0,2.0,,100097
125.0,24.0,13.0,0.0,,174941
54.0,87.0,61.0,6.0,sakarya,174942
73.0,23.0,93.0,45.0,,174943
9.0,123.0,157.0,5.0,balikesi̇r,100101
9.0,35.0,47.0,3.0,i̇stanbul,100102
39.0,18.0,14.0,4.0,mardi̇n,100103
61.0,31.0,35.0,10.0,mersi̇n,100104
28.0,263.0,1382.0,5.0,gazi̇antep,100105
122.0,36.0,30.0,10.0,,100106
45.0,197.0,308.0,119.0,i̇stanbul,100107
118.0,85.0,197.0,57.0,ankara,174944
14.0,5.0,4.0,0.0,adiyaman,100109
45.0,72.0,317.0,0.0,,100110
62.0,76.0,34.0,2.0,,100111
112.0,14.0,20.0,8.0,eski̇şehi̇r,174945
102.0,70.0,81.0,0.0,ankara,100113
67.0,9.0,17.0,11.0,malatya,174946
53.0,375.0,727.0,69.0,i̇zmi̇r,100115
91.0,21.0,169.0,87.0,i̇zmi̇r,100116
16.0,46.0,20.0,0.0,ankara,100117
61.0,73.0,336.0,3.0,konya,100118
16.0,26.0,32.0,2.0,trabzon,174947
131.0,67.0,66.0,21.0,i̇zmi̇r,174948
61.0,232.0,180.0,7.0,i̇stanbul,100121
49.0,254.0,1649.0,12.0,yurtdişi,100122
18.0,12.0,1.0,0.0,samsun,100123
37.0,82.0,254.0,0.0,yurtdişi,174949
29.0,68.0,924.0,2396.0,yurtdişi,100125
19.0,4.0,3.0,1.0,balikesi̇r,100126
61.0,2.0,0.0,1.0,,100127
112.0,17.0,85.0,32.0,i̇stanbul,100128
85.0,109.0,116.0,41.0,eski̇şehi̇r,100129
21.0,56.0,135.0,0.0,ri̇ze,100130
38.0,3.0,1.0,0.0,,100131
22.0,6.0,1.0,1.0,kastamonu,100132
101.0,4.0,4.0,6.0,,174950
102.0,497.0,3235.0,11.0,erzi̇ncan,174951
115.0,76.0,94.0,54.0,adana,174952
24.0,40.0,107.0,19.0,yurtdişi,100136
138.0,103.0,141.0,35.0,i̇stanbul,174953
68.0,98.0,154.0,17.0,kütahya,174954
26.0,24.0,16.0,0.0,afyon,100140
76.0,3.0,2.0,1.0,çanakkale,174955
45.0,9.0,10.0,11.0,elaziğ,100142
74.0,7.0,12.0,13.0,,174956
40.0,343.0,319.0,10.0,i̇stanbul,100144
68.0,60.0,53.0,5.0,antalya,100145
47.0,126.0,174.0,6.0,i̇stanbul,174957
51.0,33.0,583.0,3217.0,kütahya,100147
100.0,46.0,70.0,10.0,balikesi̇r,174958
26.0,2.0,1.0,0.0,adana,100149
43.0,159.0,486.0,2.0,i̇stanbul,174959
26.0,35.0,45.0,14.0,mersi̇n,100151
26.0,82.0,83.0,6.0,şanliurfa,100152
62.0,157.0,151.0,16.0,samsun,100153
67.0,153.0,671.0,5.0,yurtdişi (almanya),100154
90.0,14.0,37.0,1.0,i̇stanbul,100155
28.0,16.0,28.0,3.0,malatya,100156
98.0,5.0,5.0,0.0,i̇zmi̇r,100157
127.0,64.0,88.0,1.0,i̇zmi̇r,174960
112.0,117.0,153.0,18.0,i̇stanbul,174961
121.0,1516.0,7754.0,1.0,kocaeli̇,174962
27.0,1.0,10.0,8.0,ni̇ğde,100161
94.0,456.0,553.0,55.0,yurtdişi,100162
119.0,20.0,35.0,0.0,kastamonu,100163
78.0,115.0,96.0,37.0,hatay,100164
60.0,26.0,20.0,1.0,,100165
33.0,188.0,580.0,0.0,yurt dışı (almanya),174963
114.0,86.0,83.0,105.0,bursa,174964
115.0,1065.0,704.0,6.0,batman,174965
113.0,298.0,1491.0,14.0,yurt dışı (almanya),174966
49.0,24.0,40.0,48.0,yurtdişi,100170
28.0,1.0,6.0,3.0,,100171
126.0,28.0,36.0,11.0,yurtdişi,174967
30.0,21.0,95.0,3.0,yurtdişi,100173
29.0,12.0,7.0,1.0,i̇stanbul,100174
113.0,95.0,1503.0,19.0,i̇stanbul,100175
73.0,831.0,2622.0,887.0,ankara,174968
55.0,145.0,647.0,0.0,yurtdişi,174969
52.0,150.0,174.0,16.0,mardi̇n,174970
73.0,8.0,19.0,2.0,ankara,100179
46.0,4.0,2.0,0.0,,100180
33.0,18.0,15.0,11.0,yurtdişi,174971
37.0,92.0,1499.0,7.0,kahramanmaraş,100182
33.0,1.0,0.0,0.0,,100183
44.0,57.0,113.0,45.0,,100184
53.0,9.0,4.0,0.0,elaziğ,100185
40.0,227.0,1319.0,0.0,yurtdişi,100186
31.0,7.0,10.0,1.0,i̇stanbul,100187
131.0,89.0,142.0,0.0,,174972
114.0,56.0,66.0,21.0,çanakkale,100189
73.0,81.0,90.0,2.0,i̇stanbul,100190
48.0,7.0,3.0,2.0,,100191
38.0,11.0,4.0,3.0,,100192
33.0,7.0,3.0,1.0,,100193
33.0,169.0,292.0,12.0,adana,100194
112.0,308.0,434.0,5.0,mersi̇n,174973
32.0,84.0,92.0,1.0,antalya,100196
34.0,104.0,380.0,6.0,,100197
33.0,13.0,32.0,0.0,,100198
133.0,1.0,1.0,9.0,şanliurfa,100199
52.0,6.0,13.0,21.0,i̇zmi̇r,100200
61.0,55.0,64.0,12.0,i̇stanbul,100201
109.0,105.0,172.0,0.0,yurt dışı (fransa),100202
93.0,42.0,104.0,9.0,i̇zmi̇r,100203
110.0,421.0,941.0,4.0,yurtdişi,174974
103.0,33.0,87.0,103.0,van,100205
125.0,10.0,11.0,4.0,çorum,100206
43.0,195.0,1101.0,4562.0,aksaray,100207
40.0,172.0,1139.0,22.0,yurtdişi,100208
46.0,41.0,47.0,56.0,i̇stanbul,100209
109.0,28.0,48.0,2.0,ankara,100210
49.0,83.0,152.0,9.0,ankara,174975
88.0,415.0,951.0,29.0,i̇stanbul,100212
55.0,179.0,196.0,0.0,,100213
66.0,219.0,433.0,152.0,antalya,174976
44.0,2.0,4.0,2.0,,100215
54.0,39.0,28.0,7.0,,100216
36.0,7.0,1.0,0.0,,100217
40.0,243.0,112.0,10.0,yurtdişi,100218
44.0,205.0,435.0,16.0,bursa,100219
38.0,12.0,34.0,12.0,şanliurfa,100220
37.0,6.0,21.0,23.0,gazi̇antep,100221
116.0,326.0,8527.0,7.0,gazi̇antep,100222
125.0,67.0,112.0,24.0,bursa,174977
109.0,31.0,24.0,23.0,ankara,100224
96.0,119.0,247.0,8.0,kocaeli̇,100225
79.0,46.0,91.0,23.0,hatay,100226
71.0,7.0,13.0,5.0,kayseri̇,174978
37.0,5.0,13.0,7.0,erzi̇ncan,100228
105.0,12.0,7.0,10.0,bolu,174979
39.0,168.0,93.0,6.0,gazi̇antep,100230
62.0,9.0,14.0,5.0,hatay,100231
66.0,4.0,1.0,1.0,,100232
51.0,7.0,11.0,14.0,,100233
39.0,9.0,6.0,3.0,di̇yarbakir,174980
143.0,80.0,173.0,39.0,,100235
60.0,33.0,23.0,2.0,gazi̇antep,100236
42.0,451.0,2743.0,28.0,ri̇ze,100237
39.0,56.0,38.0,29.0,van,100238
55.0,3.0,36.0,122.0,,174981
100.0,155.0,58.0,4.0,,100240
52.0,168.0,2019.0,48.0,,100241
57.0,12.0,158.0,287.0,teki̇rdağ,100242
41.0,69.0,292.0,43.0,i̇stanbul,100243
92.0,101.0,129.0,9.0,i̇stanbul,100244
115.0,9.0,11.0,10.0,,174982
39.0,50.0,39.0,5.0,i̇zmi̇r,100246
60.0,30.0,126.0,100.0,i̇stanbul,100247
118.0,117.0,358.0,8.0,i̇zmi̇r,174983
109.0,130.0,108.0,81.0,ankara,174984
77.0,8.0,5.0,1.0,karaman,174985
40.0,16.0,56.0,6.0,ağri,100251
