profil_adi,kayit_ay,tarif_sayisi,takipci,takip,sehir,eslesen_sehir
eminezeynep58,96.0,9.0,3.0,1.0,si̇vas,Sivas
Denizzincisi,40.0,62.0,170.0,4.0,i̇stanbul,İstanbul
Asli_KaplanKarababa,103.0,9.0,18.0,1.0,gazi̇antep,Gaziantep
bircan79,138.0,919.0,17684.0,9.0,ki̇li̇s,Kilis
burcintrs,72.0,212.0,288.0,73.0,ankara,Ankara
Neslihan_KoseCinar,138.0,12.0,21.0,16.0,i̇stanbul,İstanbul
Rabia_Kirbas,131.0,6.0,6.0,4.0,i̇stanbul,İstanbul
Sukran_Acikgoz4,76.0,43.0,189.0,95.0,mersi̇n,Mersin
Handan_Ozkil,81.0,65.0,78.0,5.0,ankara,Ankara
mervisteyze,55.0,25.0,64.0,0.0,i̇stanbul,İstanbul
iugurchef,57.0,81.0,939.0,4.0,i̇stanbul,İstanbul
tulaydeveci,55.0,50.0,36.0,4.0,ankara,Ankara
hsedaaaa,64.0,33.0,126.0,124.0,gazi̇antep,Gaziantep
Cigdem_Gvn,117.0,16.0,20.0,40.0,kirklareli̇,Kırklareli
ozlemyilmaztursak,72.0,384.0,687.0,5.0,ankara,Ankara
Humeyra_Demirel3,113.0,116.0,229.0,204.0,erzurum,Erzurum
sedaycn,114.0,17.0,9.0,6.0,i̇stanbul,İstanbul
NazanAcikgoz_Dasiran,103.0,120.0,171.0,1.0,hatay,Hatay
zynpsewde,109.0,20.0,54.0,10.0,bursa,Bursa
2in1mutfak,60.0,46.0,145.0,80.0,i̇stanbul,İstanbul
tugbailgin6826,63.0,41.0,54.0,1.0,gazi̇antep,Gaziantep
glderya,86.0,159.0,1237.0,3307.0,mardi̇n,Mardin
gizemgultekin1,66.0,7.0,19.0,55.0,kocaeli̇,Kocaeli
nehirceren,115.0,549.0,544.0,1.0,antalya,Antalya
tubaninsirinmutfagi,68.0,59.0,72.0,20.0,tokat,Tokat
alininrabiasi,102.0,6.0,18.0,13.0,konya,Konya
pelin1518,78.0,29.0,18.0,0.0,teki̇rdağ,Tekirdağ
fnbilgin,90.0,117.0,239.0,37.0,ankara,Ankara
Ahmet_Orbay,115.0,121.0,122.0,2.0,mardi̇n,Mardin
Gizem_Cinar2,131.0,21.0,28.0,90.0,erzurum,Erzurum
Melikem01,114.0,44.0,189.0,10.0,ankara,Ankara
turker582,91.0,7.0,51.0,0.0,si̇i̇rt,Siirt
Mahmut_Subatay,90.0,86.0,74.0,19.0,hatay,Hatay
DenizRecep_Turan,114.0,99.0,161.0,17.0,samsun,Samsun
mutfaktakibiriii,84.0,31.0,34.0,12.0,erzurum,Erzurum
Gamze_Guden,142.0,45.0,209.0,8.0,gazi̇antep,Gaziantep
_nurmerduvan_41,9.0,85.0,44.0,2.0,kocaeli,Kocaeli
lezzetinmuhendisi,73.0,359.0,971.0,18.0,adana,Adana
sofradanlezzetler77,3.0,15.0,23.0,4.0,yalova,Yalova
zehracolakoglu,22.0,12.0,9.0,11.0,i̇stanbul,İstanbul
